NAME,B01001_001E,state,county
"Abbeville County, South Carolina",24657,45,001
"Acadia Parish, Louisiana",62568,22,001
"Accomack County, Virginia",32742,51,001
"Ada County, Idaho",446052,16,001
"Adair County, Iowa",7124,19,001
"Adair County, Kentucky",19241,21,001
"Adair County, Missouri",25325,29,001
"Adair County, Oklahoma",22113,40,001
"Adams County, Colorado",497115,08,001
"Adams County, Idaho",4019,16,003
"Adams County, Illinois",66427,17,001
"Adams County, Indiana",35195,18,001
"Adams County, Iowa",3726,19,003
"Adams County, Mississippi",31547,28,001
"Adams County, Nebraska",31583,31,001
"Adams County, North Dakota",2351,38,001
"Adams County, Ohio",27878,39,001
"Adams County, Pennsylvania",102023,42,001
"Adams County, Washington",19452,53,001
"Adams County, Wisconsin",20073,55,001
"Addison County, Vermont",36939,50,001
"Adjuntas Municipio, Puerto Rico",18181,72,001
"Aguada Municipio, Puerto Rico",38643,72,003
"Aguadilla Municipio, Puerto Rico",54166,72,005
"Aguas Buenas Municipio, Puerto Rico",26275,72,007
"Aibonito Municipio, Puerto Rico",23457,72,009
"Aiken County, South Carolina",166926,45,003
"Aitkin County, Minnesota",15834,27,001
"Alachua County, Florida",263148,12,001
"Alamance County, North Carolina",160576,37,001
"Alameda County, California",1643700,06,001
"Alamosa County, Colorado",16444,08,003
"Albany County, New York",307426,36,001
"Albany County, Wyoming",38102,56,001
"Albemarle County, Virginia",106355,51,003
"Alcona County, Michigan",10364,26,001
"Alcorn County, Mississippi",37180,28,003
"Aleutians East Borough, Alaska",3425,02,013
"Aleutians West Census Area, Alaska",5750,02,016
"Alexander County, Illinois",6532,17,003
"Alexander County, North Carolina",37119,37,003
"Alexandria city, Virginia",156505,51,510
"Alfalfa County, Oklahoma",5857,40,003
"Alger County, Michigan",9194,26,003
"Allamakee County, Iowa",13880,19,005
"Allegan County, Michigan",115250,26,005
"Allegany County, Maryland",71977,24,001
"Allegany County, New York",47025,36,003
"Alleghany County, North Carolina",10973,37,005
"Alleghany County, Virginia",15286,51,005
"Allegheny County, Pennsylvania",1225561,42,003
"Allen County, Indiana",370016,18,003
"Allen County, Kansas",12630,20,001
"Allen County, Kentucky",20794,21,003
"Allen County, Ohio",103642,39,003
"Allen Parish, Louisiana",25661,22,003
"Allendale County, South Carolina",9214,45,005
"Alpena County, Michigan",28612,26,007
"Alpine County, California",1146,06,003
"Amador County, California",37829,06,005
"Amelia County, Virginia",12854,51,007
"Amherst County, Virginia",31882,51,009
"Amite County, Mississippi",12468,28,005
"Anchorage Municipality, Alaska",296112,02,020
"Anderson County, Kansas",7852,20,003
"Anderson County, Kentucky",22214,21,005
"Anderson County, South Carolina",195995,45,007
"Anderson County, Tennessee",75775,47,001
"Anderson County, Texas",57863,48,001
"Andrew County, Missouri",17403,29,003
"Andrews County, Texas",17818,48,003
"Androscoggin County, Maine",107444,23,001
"Angelina County, Texas",87607,48,005
"Anne Arundel County, Maryland",567696,24,003
"Anoka County, Minnesota",347431,27,003
"Anson County, North Carolina",25306,37,007
"Antelope County, Nebraska",6372,31,003
"Antrim County, Michigan",23177,26,009
"Apache County, Arizona",71522,04,001
"Appanoose County, Iowa",12510,19,007
"Appling County, Georgia",18454,13,001
"Appomattox County, Virginia",15577,51,011
"Aransas County, Texas",24763,48,007
"Arapahoe County, Colorado",636671,08,005
"Archer County, Texas",8789,48,009
"Archuleta County, Colorado",12908,08,007
"Arecibo Municipio, Puerto Rico",87242,72,013
"Arenac County, Michigan",15165,26,011
"Arkansas County, Arkansas",18124,05,001
"Arlington County, Virginia",231803,51,013
"Armstrong County, Pennsylvania",66331,42,005
"Armstrong County, Texas",1916,48,011
"Aroostook County, Maine",68269,23,003
"Arroyo Municipio, Puerto Rico",18111,72,015
"Arthur County, Nebraska",418,31,005
"Ascension Parish, Louisiana",121176,22,005
"Ashe County, North Carolina",26786,37,009
"Ashland County, Ohio",53477,39,005
"Ashland County, Wisconsin",15712,55,003
"Ashley County, Arkansas",20537,05,003
"Ashtabula County, Ohio",98136,39,007
"Asotin County, Washington",22337,53,003
"Assumption Parish, Louisiana",22714,22,007
"Atascosa County, Texas",48828,48,013
"Atchison County, Kansas",16363,20,005
"Atchison County, Missouri",5270,29,005
"Athens County, Ohio",65936,39,009
"Atkinson County, Georgia",8265,13,003
"Atlantic County, New Jersey",268539,34,001
"Atoka County, Oklahoma",13874,40,005
"Attala County, Mississippi",18581,28,007
"Audrain County, Missouri",25735,29,007
"Audubon County, Iowa",5637,19,009
"Auglaize County, Ohio",45784,39,011
"Augusta County, Virginia",74701,51,015
"Aurora County, South Dakota",2759,46,003
"Austin County, Texas",29565,48,015
"Autauga County, Alabama",55200,01,001
"Avery County, North Carolina",17501,37,011
"Avoyelles Parish, Louisiana",40882,22,009
"Añasco Municipio, Puerto Rico",27368,72,011
"Baca County, Colorado",3563,08,009
"Bacon County, Georgia",11228,13,005
"Bailey County, Texas",7092,48,017
"Baker County, Florida",27785,12,003
"Baker County, Georgia",3189,13,007
"Baker County, Oregon",15984,41,001
"Baldwin County, Alabama",208107,01,003
"Baldwin County, Georgia",45286,13,009
"Ballard County, Kentucky",8090,21,007
"Baltimore County, Maryland",827625,24,005
"Baltimore city, Maryland",614700,24,510
"Bamberg County, South Carolina",14600,45,009
"Bandera County, Texas",21763,48,019
"Banks County, Georgia",18510,13,011
"Banner County, Nebraska",696,31,007
"Bannock County, Idaho",85065,16,005
"Baraga County, Michigan",8507,26,013
"Barber County, Kansas",4733,20,007
"Barbour County, Alabama",25782,01,005
"Barbour County, West Virginia",16730,54,001
"Barceloneta Municipio, Puerto Rico",24299,72,017
"Barnes County, North Dakota",10836,38,003
"Barnstable County, Massachusetts",213690,25,001
"Barnwell County, South Carolina",21577,45,011
"Barranquitas Municipio, Puerto Rico",28755,72,019
"Barren County, Kentucky",43680,21,009
"Barron County, Wisconsin",45252,55,005
"Barrow County, Georgia",76887,13,013
"Barry County, Michigan",60057,26,015
"Barry County, Missouri",35493,29,009
"Bartholomew County, Indiana",81893,18,005
"Barton County, Kansas",26791,20,009
"Barton County, Missouri",11850,29,011
"Bartow County, Georgia",103620,13,015
"Bastrop County, Texas",82577,48,021
"Bates County, Missouri",16374,29,013
"Bath County, Kentucky",12268,21,011
"Bath County, Virginia",4393,51,017
"Baxter County, Arkansas",41219,05,005
"Bay County, Florida",182482,12,005
"Bay County, Michigan",104786,26,017
"Bayamón Municipio, Puerto Rico",182955,72,021
"Bayfield County, Wisconsin",14992,55,007
"Baylor County, Texas",3591,48,023
"Beadle County, South Dakota",18374,46,005
"Bear Lake County, Idaho",5962,16,007
"Beaufort County, North Carolina",47243,37,013
"Beaufort County, South Carolina",182658,45,013
"Beauregard Parish, Louisiana",36769,22,011
"Beaver County, Oklahoma",5415,40,007
"Beaver County, Pennsylvania",166896,42,007
"Beaver County, Utah",6443,49,001
"Beaverhead County, Montana",9393,30,001
"Becker County, Minnesota",33773,27,005
"Beckham County, Oklahoma",22621,40,009
"Bedford County, Pennsylvania",48611,42,009
"Bedford County, Tennessee",47558,47,003
"Bedford County, Virginia",77908,51,019
"Bee County, Texas",32691,48,025
"Belknap County, New Hampshire",60640,33,001
"Bell County, Kentucky",27188,21,013
"Bell County, Texas",342236,48,027
"Belmont County, Ohio",68472,39,013
"Beltrami County, Minnesota",46117,27,007
"Ben Hill County, Georgia",17154,13,017
"Benewah County, Idaho",9086,16,009
"Bennett County, South Dakota",3437,46,007
"Bennington County, Vermont",35920,50,003
"Benson County, North Dakota",6886,38,005
"Bent County, Colorado",5809,08,011
"Benton County, Arkansas",258980,05,007
"Benton County, Indiana",8667,18,007
"Benton County, Iowa",25626,19,011
"Benton County, Minnesota",39779,27,009
"Benton County, Mississippi",8253,28,009
"Benton County, Missouri",18989,29,015
"Benton County, Oregon",89780,41,003
"Benton County, Tennessee",16112,47,005
"Benton County, Washington",194168,53,005
"Benzie County, Michigan",17552,26,019
"Bergen County, New Jersey",929999,34,003
"Berkeley County, South Carolina",209065,45,015
"Berkeley County, West Virginia",113495,54,003
"Berks County, Pennsylvania",416642,42,011
"Berkshire County, Massachusetts",127328,25,003
"Bernalillo County, New Mexico",677692,35,001
"Berrien County, Georgia",19025,13,019
"Berrien County, Michigan",154807,26,021
"Bertie County, North Carolina",19644,37,015
"Bethel Census Area, Alaska",18040,02,050
"Bexar County, Texas",1925865,48,029
"Bibb County, Alabama",22527,01,007
"Bibb County, Georgia",153490,13,021
