name,pop,med_pers_inc
Alabama,4841164,23527.0
Alaska,736855,31944.0
Arizona,6728577,26565.0
Arkansas,2968472,22787.0
California,38654206,27772.0
Colorado,5359295,31325.0
Connecticut,3588570,34124.0
Delaware,934695,30648.0
Florida,19934451,25166.0
Georgia,10099320,26132.0
Hawaii,1413673,31501.0
Idaho,1635483,24244.0
Illinois,12851684,29762.0
Indiana,6589578,26318.0
Iowa,3106589,28712.0
Kansas,2898292,27951.0
Kentucky,4411989,23581.0
Louisiana,4645670,24408.0
Maine,1329923,25897.0
Maryland,5959902,36344.0
Massachusetts,6742143,32626.0
Michigan,9909600,25928.0
Minnesota,5450868,31641.0
Mississippi,2989192,21785.0
Missouri,6059651,26008.0
Montana,1023391,25149.0
Nebraska,1881259,28503.0
Nevada,2839172,27695.0
New Hampshire,1327503,31949.0
New Jersey,8915456,33853.0
New Mexico,2082669,23771.0
New York,19697457,30312.0
North Carolina,9940828,25605.0
North Dakota,736162,31273.0
Ohio,11586941,26537.0
Oklahoma,3875589,25495.0
Oregon,3982267,26195.0
Pennsylvania,12783977,27518.0
Rhode Island,1054491,29056.0
South Carolina,4834605,24618.0
South Dakota,851058,27449.0
Tennessee,6548009,24517.0
Texas,26956435,26928.0
Utah,2948427,26703.0
Vermont,626249,28045.0
Virginia,8310301,31659.0
Washington,7073146,31133.0
West Virginia,1846092,22858.0
Wisconsin,5754798,28466.0
Wyoming,583029,29780.0
